id,Absorption,Group,Absorption_2
TT001,NA,NA,1.153
TT002,NA,NA,1.232
TT004,NA,NA,1.118
TT005,NA,NA,0.967
TT006,2.143137255,1,1.055
TT007,2.400793651,1,1.099
TT009,1.649706458,2,1.036
TT010,1.978640777,2,1.054
TT011,2.97826087,3,1.227
TT012,NA,NA,1.098
TT013,NA,NA,1.128
TT014,1.956692913,3,0.979
TT015,2.333992095,4,1.091
TT016,2.661322645,4,1.078
TT017,2.272380952,1,1.204
TT018,2.08249497,1,1.144
TT020,1.908,2,1.072
TT022,1.802788845,2,1.091
TT023,2.324649299,3,1.116
TT024,2.003952569,3,1.102
TT025,3.011857708,4,1.142
TT026,2.204771372,4,1.074
TT027,2.303262956,1,1.018
TT029,NA,NA,1.115
TT030,NA,NA,1.007
TT031,NA,NA,1.082
TT032,NA,NA,1.074
TT033,NA,NA,1.119
TT034,NA,NA,1.147
TT035,NA,NA,0.989
TT036,NA,NA,1.029
TT038,NA,NA,1.103
TT039,NA,NA,1.141
TT040,NA,NA,0.994
TT041,NA,NA,1.134
TT042,NA,NA,1.106
TT045,NA,NA,0.947
TT046,NA,NA,1.176
TT047,NA,NA,1.096
TT048,NA,NA,1.075
TT049,NA,NA,1.043
TT050,NA,NA,0.99
TT051,2.16904277,1,1.031
TT052,2.410358566,2,1.064
TT053,NA,NA,1.071
TT054,2.055555556,2,1.076
TT055,NA,NA,1.162
TT056,NA,NA,1.191
TT057,NA,NA,1.178
TT058,NA,NA,1.154
TT059,NA,NA,1.062
TT060,2.577075099,3,1.061
TT061,2.786138614,3,1.214
TT062,2.021868787,4,1.064
TT063,NA,NA,1.033
TT064,NA,NA,1.097
TT065,NA,NA,1.034
TT067,NA,NA,0.958
TT068,NA,NA,1.004
TT069,NA,NA,1.134
TT070,NA,NA,1.101
TT071,NA,NA,1.133
TT072,3.021696252,4,1.038
TT073,NA,NA,0.998
TT074,NA,NA,1.069
TT075,NA,NA,0.945
TT076,NA,NA,1.029
TT077,NA,NA,1.183
TT078,NA,NA,1.084
TT079,NA,NA,1.204
TT080,NA,NA,1.028
TT081,2.171026157,1,1.064
TT082,NA,NA,1.072
TT083,NA,NA,1.164
TT084,2.241516966,1,1.051
TT086,2.088757396,2,1.068
TT087,NA,NA,0.997
TT088,NA,NA,1.099
TT089,NA,NA,1.201
TT090,NA,NA,1.194
TT092,NA,NA,0.986
TT093,2.28,2,1.075
TT094,NA,NA,1.214
TT095,NA,NA,0.992
TT096,NA,NA,1.08
TT097,2.36,3,1.108
TT098,NA,NA,1.218
TT099,2.292,3,1.174
TT100,NA,NA,1.017
TT101,2.231827112,4,1.061
TT103,NA,NA,1.071
TT104,NA,NA,1.04
TT105,NA,NA,1.092
TT106,1.952662722,2,1.067
TT107,NA,NA,1.258
TT108,2.43647541,1,1.2
TT109,NA,NA,1.149
TT110,NA,NA,1.012
TT111,NA,NA,1.068
TT112,NA,NA,1.122
TT113,2.293413174,3,1.054
TT114,NA,NA,1.045
TT115,2.455445545,3,1.019
TT116,2.291984733,1,1.116
TT117,2.132264529,4,1.195
TT118,NA,NA,1.155
TT119,1.942574257,4,1.182
TT120,NA,NA,1.067
TT121,NA,NA,1.079
TT123,NA,NA,1.088
TT124,2.264270613,1,1.01
TT125,NA,NA,1.072
TT126,2.170040486,1,1.133
TT127,1.559921415,2,1.085
TT128,2.00990099,2,1.129
TT129,1.908730159,3,1.131
TT130,NA,NA,1.052
TT132,NA,NA,0.974
TT133,NA,NA,1.068
TT134,NA,NA,1.031
TT135,NA,NA,1.048
TT136,NA,NA,1.103
TT137,NA,NA,1.153
TT138,NA,NA,0.904
TT139,NA,NA,1.143
TT143,2.031809145,3,1.038
TT145,1.988118812,4,1.025
TT146,NA,NA,1.064
TT149,NA,NA,1.083
TT150,NA,NA,1.242
TT151,2.077689243,4,1.077
TT152,NA,NA,1.132
TT153,NA,NA,1.068
TT154,NA,NA,1.116
TT155,NA,NA,1.118
TT156,NA,NA,1.101
TT157,NA,NA,1.088
TT158,NA,NA,1.154
TT159,NA,NA,1.119
TT160,NA,NA,1.149
TT161,NA,NA,1.124
TT162,NA,NA,1.007
TT163,NA,NA,1.132
TT164,NA,NA,0.992
